ID,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,COUNTY
1,Brokered by Serhant,Condo for sale,195000000,7,10,17545.0,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909,New York County
2,Brokered by Sowae Corp,House for sale,260000,4,2,2015.0,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,Richmond County
3,Brokered by COMPASS,Condo for sale,69000,3,1,445.0,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,New York County
4,Brokered by Sowae Corp,House for sale,690000,5,2,4004.0,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,Kings County
5,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,2184.207862,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777,New York County
6,Brokered by Connie Profaci Realty,House for sale,16800000,8,16,33000.0,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,Richmond County
7,Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,978.0,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,Kings County
8,Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,850.0,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,Bronx County
9,Brokered by COMPASS,Co-op for sale,259000,3,1,2184.207862,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757,Queens County
10,Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,2184.207862,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722,Queens County
11,Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,2184.207862,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899,New York County
12,Brokered by Awaye Realty,Condo for sale,549000,2,2,1000.0,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,Richmond County
13,Brokered by Realty Executives Today,Townhouse for sale,975000,3,2,1734.0,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,Queens County
14,Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1,325.0,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,Kings County
15,Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1,700.0,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,Bronx County
16,Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2,974.0,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,Queens County
17,Brokered by Radiant Estates LLC,House for sale,639999,3,2,1260.0,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,Richmond County
18,"Brokered by Apaus, Inc",Condo for sale,1300000,2,2,1244.0,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,Queens County
19,Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3,2837.0,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,Bronx County
20,Brokered by Martino Realty Group,Condo for sale,349900,1,1,651.0,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,Richmond County
21,Brokered by Elizabeth Marra,House for sale,750000,2,2,1330.0,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,Richmond County
22,Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1690000,6,4,2200.0,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,Queens County
23,"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1,2184.207862,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,Queens County
24,Brokered by Du Chris Realty,Co-op for sale,230000,1,1,2184.207862,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231,Queens County
25,Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6,3156.0,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,Richmond County
26,NoBroker,Multi-family home for sale,925000,5,2,2750.0,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,Bronx County
27,Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2,794.0,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,Richmond County
28,Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8,5040.0,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,Richmond County
29,Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4,2080.0,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,Kings County
30,Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1,750.0,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,Kings County
31,Brokered by Ashford Homes LLC,Condo for sale,528000,1,1,602.0,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,Kings County
32,Brokered by Ashford Homes,Multi-family home for sale,1299888,11,4,3156.0,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,Richmond County
33,Brokered by E Realty International Corp,Co-op for sale,275000,1,1,2184.207862,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834,Queens County
34,Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1,815.0,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468,Kings County
35,Brokered by Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5,3290.0,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135,Richmond County
36,Brokered by Exp Realty,Multi-family home for sale,700000,6,2,3053.0,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871,Bronx County
37,Brokered by Century 21 Realty First,Multi-family home for sale,2150000,8,4,3200.0,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824,Kings County
38,Brokered by E Realty International Corp,Multi-family home for sale,1280000,7,5,2460.0,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322,Queens County
39,Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1,2184.207862,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625,Bronx County
40,Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1,2184.207862,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077,Queens County
41,Brokered by Prestige Homes Ny Inc,Multi-family home for sale,699000,4,3,1591.0,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331,Queens County
42,Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2,2400.0,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212,New York County
43,Brokered by Weichert Realtors TMT Group,Multi-family home for sale,825000,2,2,2184.207862,"32-39 Jordan St, Flushing, NY 11358, USA",40.768457,-73.789417,Queens County
44,Brokered by American Homes Group,Condo for sale,329000,2,1,837.0,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344,Richmond County
45,Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,889000,2,2,1520.0,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917,Richmond County
46,Brokered by First Class Homes Inc,Multi-family home for sale,769000,2,2,2184.207862,"101-55 112th St, South Richmond Hill, NY 11419, USA",40.6868333,-73.8309133,Queens County
47,Brokered by eXp Realty BKNY,Multi-family home for sale,1200000,4,2,2536.0,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526,Kings County
48,Brokered by VYLLA HOME,Co-op for sale,220500,2,1,900.0,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983,Richmond County
49,Brokered by RE MAX Edge,Multi-family home for sale,1999000,3,3,2739.0,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598,Kings County
50,Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2,1267.0,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131,Kings County
51,"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4,2554.0,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531,Richmond County
52,Brokered by American Homes Group,House for sale,998800,3,4,2400.0,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996,Richmond County
53,Brokered by DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2,1952.0,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051,Kings County
54,Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1,2184.207862,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328,New York County
55,Brokered by Piastro Realty LLC,Co-op for sale,559500,1,1,800.0,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,Kings County
56,Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1,835.0,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578,New York County
57,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2,1029.0,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438,New York County
58,Brokered by Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2,1201.0,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099,Kings County
59,Brokered by COMPASS,Condo for sale,1395000,2,2,1182.0,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728,Kings County
60,Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1,2184.207862,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466,Queens County
61,Brokered by Better Homes and Gardens Real Estate Safari Realty,Contingent,619888,3,2,1400.0,"35 Center Pl, Staten Island, NY 10306, USA",40.5632116,-74.1002521,Richmond County
62,Brokered by Serhant,Condo for sale,1595000,3,3,1413.0,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444,Kings County
63,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2,803.0,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036,Kings County
64,Brokered by Serhant,Condo for sale,1175000,2,2,1115.0,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444,Kings County
65,Brokered by Momentum Real Estate LLC,Multi-family home for sale,798000,3,4,2150.0,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056,Richmond County
66,Brokered by Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4,4492.0,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568,New York County
67,Brokered by Gosen Properties Inc,Foreclosure,269000,5,2,2184.207862,"241-49 148th Dr, Jamaica, NY 11422, USA",40.6534433,-73.741373,Queens County
68,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,1065.0,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,New York County
69,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,1065.0,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,New York County
70,Brokered by COMPASS,Townhouse for sale,12950000,5,4,3344.0,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035,New York County
71,Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2,2223.0,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819,New York County
72,Brokered by Sowae Corp,Multi-family home for sale,250000,5,2,2184.207862,"130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339,Queens County
73,Brokered by Keller Williams Realty Empire,House for sale,585000,3,2,1100.0,"192 Colfax Ave, Staten Island, NY 10306, USA",40.5784263,-74.105437,Richmond County
74,Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6,2184.207862,"8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695,Kings County
75,"Brokered by Tom Marco Real Estate, Inc.",House for sale,595000,3,1,1316.0,"1509 E 48th St, Brooklyn, NY 11234, USA",40.6239146,-73.9291226,Kings County
76,Brokered by Engel & Volkers Brownstone Brooklyn,Condo for sale,215000,1,1,625.0,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538,New York County
77,Built by Toll Brothers,For sale,950000,1,1,621.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,New York County
78,Brokered by Sowae Corp,House for sale,314000,3,1,1572.0,"850 E 39th St, Brooklyn, NY 11210, USA",40.6362368,-73.939679,Kings County
79,Brokered by Brown Harris Stevens,Condo for sale,395000,5,1,1000.0,"110 E 71st St, New York, NY 10021, USA",40.7700395,-73.9638872,New York County
80,Brokered by Prospes Real Estate Corp,Multi-family home for sale,600000,2,2,2184.207862,"1406 Mac Donough Pl, Bronx, NY 10465, USA",40.8429545,-73.8249591,Bronx County
81,Brokered by EXP Realty,Multi-family home for sale,790000,6,3,2520.0,"78 Mountainview Ave, Staten Island, NY 10314, USA",40.6105856,-74.1268175,Richmond County
82,Brokered by STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2,1100.0,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836,Kings County
83,Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1295000,4,2,1995.0,"2501 Palisade Ave #2, Bronx, NY 10463, USA",40.8809873,-73.9224337,Bronx County
84,Brokered by Sowae Corp,House for sale,245000,3,1,2184.207862,"2942 Lurting Ave, Bronx, NY 10469, USA",40.8690109,-73.8564445,Bronx County
85,Brokered by Americas Real Estate Advisors,House for sale,400000,7,3,2385.0,"340 E 234th St, Bronx, NY 10470, USA",40.8969146,-73.8654984,Bronx County
86,Brokered by Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8,12000.0,"25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322,New York County
87,Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1,1000.0,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837,Kings County
88,Brokered by Top Choice Realty LLC,House for sale,899000,3,2,1440.0,"40 Adelphi Ave, Staten Island, NY 10309, USA",40.5159004,-74.2314825,Richmond County
89,Built by Toll Brothers,For sale,2280000,2,2,1400.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,New York County
90,Brokered by Cross Country Realty,Coming Soon,649000,4,3,2184.207862,"194 Carroll St, Brooklyn, NY 11231, USA",40.6813429,-73.9981509,Kings County
91,Brokered by Charles Rutenberg Realty Inc,Pending,739000,6,4,2184.207862,"38 Dare Ct, Brooklyn, NY 11229, USA",40.5877991,-73.9216187,Kings County
92,Brokered by Douglas Elliman - 187 Seventh Ave,House for sale,3950000,5,2,3528.0,"591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375,Kings County
93,Brokered by Avenues - Headquarters,Condo for sale,325000,2,1,979.0,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257,New York County
94,Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1,2184.207862,"215 W 75th St #4d, New York, NY 10023, USA",40.7810583,-73.9808407,New York County
95,Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5,4720.0,"327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514,New York County
96,Brokered by Compass Realty Central Inc.,House for sale,694000,3,3,1360.0,"364 Armstrong Ave, Staten Island, NY 10308, USA",40.5423126,-74.1555672,Richmond County
97,Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,688888,4,2,2846.0,"761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768,Bronx County
98,Brokered by Sowae Corp,House for sale,400000,4,2,1980.0,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867,Kings County
99,Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,2184.207862,"103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042,Queens County
100,Brokered by Sowae Corp,House for sale,400000,4,2,1980.0,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867,Kings County
101,Brokered by Sowae Corp,Multi-family home for sale,346000,5,2,2184.207862,"103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042,Queens County
102,Brokered by Sowae Corp,House for sale,265000,3,1,2184.207862,"135-38 224th St, Jamaica, NY 11413, USA",40.67538,-73.7472571,Queens County
103,Brokered by Winzone Realty Inc,House for sale,319000,3,2,1224.0,"57 Neutral Ave, Staten Island, NY 10306, USA",40.5604695,-74.1018925,Richmond County
104,Brokered by Corcoran East Side,Townhouse for sale,24800000,6,8,2184.207862,"45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462,New York County
105,Brokered by Exp Realty,House for sale,1100000,9,4,3276.0,"421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229,New York County
106,Brokered by Sowae Corp,Multi-family home for sale,309000,6,2,2184.207862,"29-18 Brookhaven Ave, Far Rockaway, NY 11691, USA",40.5980695,-73.7632649,Queens County
107,Brokered by Keller Williams Realty Liberty,House for sale,650000,3,2,1522.0,"237-14 93rd Rd, Jamaica, NY 11426, USA",40.723245,-73.7293286,Queens County
108,Brokered by Rise Realty,House for sale,799000,4,2,1975.0,"604 Lamont Ave, Staten Island, NY 10312, USA",40.5387812,-74.193378,Richmond County
109,Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,259000,3,2,1089.0,"7C Edgewater Park, Bronx, NY 10465, USA",40.8246371,-73.8072061,Bronx County
110,Brokered by DiTommaso Real Estate,House for sale,1195000,4,4,2704.0,"52 Indale Ave, Staten Island, NY 10309, USA",40.5143019,-74.2044734,Richmond County
111,Brokered by Serhant,Condo for sale,17500000,5,6,5499.0,"37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443,New York County
112,Brokered by Salmon Realty Group,Condo for sale,189000,2,2,966.0,"20 Cliff St #6b, Staten Island, NY 10305, USA",40.6109595,-74.060351,Richmond County
113,Brokered by Midas Realty,Condo for sale,759000,3,2,1200.0,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051,Queens County
114,Brokered by ONLY NINE REALTY LLC,House for sale,275000,4,1,2184.207862,"579 E 29th St, Brooklyn, NY 11210, USA",40.6366859,-73.9488175,Kings County
115,Brokered by COMPASS,Condo for sale,499000,1,1,630.0,"157 E 72nd St #8i, New York, NY 10021, USA",40.7702318,-73.9610161,New York County
116,Brokered by Utopia Real Estate,Co-op for sale,69900,2,1,700.0,"61 Edgewater Park, Bronx, NY 10465, USA",40.8224987,-73.8111568,Bronx County
117,Brokered by Rock Realty Inc,Multi-family home for sale,1150000,12,6,5508.0,"32-40 48th St, Long Island City, NY 11103, USA",40.755049,-73.9136386,Queens County
118,"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4,3740.0,"517 W 142nd St, New York, NY 10031, USA",40.824015,-73.9502067,New York County
119,Brokered by Charles H. Greenthal Property,Co-op for sale,1399000,3,4,1993.0,"26910 Grand Central Pkwy Apt 21n, Queens, NY 11005, USA",40.7566899,-73.72075,Queens County
120,Brokered by Douglas Elliman - Roslyn,Condo for sale,649000,3,2,1182.0,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",40.7302938,-73.8059248,Queens County
121,Brokered by WW Realty Group Inc,House for sale,499000,5,2,1760.0,"2774 Marion Ave, Bronx, NY 10458, USA",40.8663864,-73.8878945,Bronx County
122,Brokered by Julia B. Fee Sotheby's International Realty,Multi-family home for sale,1050000,5,4,3132.0,"2818 Miles Ave, Bronx, NY 10465, USA",40.8176549,-73.8197053,Bronx County
123,Brokered by COMPASS,Townhouse for sale,5000000,10,9,6425.0,"137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047,New York County
124,Brokered by HOT HOMES REALTY LLC.,Pending,90000,1,1,660.0,"16 Mapleton Ave, Staten Island, NY 10306, USA",40.574451,-74.0929448,Richmond County
125,Brokered by Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10,24000.0,"9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913,New York County
126,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,500000,4,3,1794.0,"251 W 89th St #6e, New York, NY 10024, USA",40.7905714,-73.9753392,New York County
127,Brokered by Real Estate Property Group LLC,House for sale,350000,2,1,490.0,"750 Patterson Ave, Staten Island, NY 10306, USA",40.5731273,-74.089182,Richmond County
128,Brokered by Corcoran Park Slope,House for sale,1099000,4,2,2184.207862,"204-34 9th Ave, Breezy Point, NY 11697, USA",40.5595612,-73.9147409,Queens County
129,Brokered by RE MAX Boutique Realty,Co-op for sale,90000,1,1,450.0,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444,Bronx County
130,Brokered by Laffey Real Estate,House for sale,839000,4,2,2184.207862,"158-35 87th St, Jamaica, NY 11414, USA",40.6590909,-73.8451972,Queens County
131,Brokered by CENTURY 21 PROFESSIONAL REALTY,House for sale,659000,8,3,2184.207862,"148-05 111th Ave, Jamaica, NY 11435, USA",40.688533,-73.796529,Queens County
132,Brokered by CENTURY 21 PROFESSIONAL REALTY,House for sale,659000,8,3,2184.207862,"148-05 111th Ave, Jamaica, NY 11435, USA",40.688533,-73.796529,Queens County
133,Brokered by Anthony Napolitano Homes,House for sale,399999,3,1,2184.207862,"178 Beach 24th St, Far Rockaway, NY 11691, USA",40.5950021,-73.7577376,Queens County
134,Brokered by Homefinders of SI Inc.,Condo for sale,250000,3,1,2184.207862,"3105 Ave V #1f, Brooklyn, NY 11229, USA",40.5997081,-73.9344974,Kings County
135,Built by Toll Brothers,For sale,1740000,2,2,1132.0,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035,New York County
136,Brokered by Epiphany Realty Llc,House for sale,650000,4,2,2244.0,"115- 115 220th St, Cambria Heights, NY 11411, USA",40.6968706,-73.7390395,Queens County
137,Brokered by Re/Max Edge,House for sale,1165000,3,4,3500.0,"67 Dexter Ave, Staten Island, NY 10309, USA",40.5397292,-74.2155251,Richmond County
138,"Brokered by Homes R Us Realty of NY, Inc.",House for sale,729900,3,2,1150.0,"447 Vernon Ave, Staten Island, NY 10309, USA",40.5302132,-74.1981906,Richmond County
139,Brokered by Winzone Realty Inc,House for sale,1880000,3,4,3150.0,"3758 Bayview Ave, Brooklyn, NY 11224, USA",40.5805262,-74.0061062,Kings County
140,Brokered by Charles H. Greenthal Property,Co-op for sale,449000,2,2,1549.0,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564,Queens County
141,Brokered by Keller Williams City Views,House for sale,1175000,3,2,2250.0,"251 B 140 St, Rockaway Park, NY 11694, USA",40.57372,-73.8577786,Queens County
142,"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2750000,3,2,2184.207862,"16 Gay St, New York, NY 10014, USA",40.7336687,-74.000518,New York County
143,Brokered by Hauseit LLC,House for sale,995000,3,2,2184.207862,"159-03 83rd St, Queens, NY 11414, USA",40.657686,-73.8489131,Queens County
144,Brokered by Leven Real Estate - Head Office,Townhouse for sale,15000000,8,6,2184.207862,"126 Pierrepont St, Brooklyn, NY 11201, USA",40.6948972,-73.9925741,Kings County
145,Brokered by RE MAX Edge,House for sale,2800000,4,6,8333.0,"25 Copperleaf Terrace, Staten Island, NY 10304, USA",40.5861193,-74.1075476,Richmond County
146,Brokered by Keller Williams Rlty Landmark,House for sale,2600000,5,4,3024.0,"214-42 27th Ave, Flushing, NY 11360, USA",40.7780417,-73.7739629,Queens County
147,Brokered by Corcoran West Side,Townhouse for sale,3500000,6,6,6000.0,"51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622,New York County
148,Brokered by Corcoran East Side,Co-op for sale,550000,1,1,2184.207862,"609 Columbus Ave #10j, New York, NY 10024, USA",40.7887084,-73.9700091,New York County
149,Brokered by E House Realty & Mgt. Inc.,Pending,769000,3,4,2184.207862,"290 Lake Ave, Staten Island, NY 10303, USA",40.6291962,-74.1518654,Richmond County
150,Brokered by TALK OF THE TOWN REALTY C,House for sale,675000,3,2,2400.0,"2519 Mill Ave, Brooklyn, NY 11234, USA",40.610206,-73.91065,Kings County
151,Brokered by Gateway Arms Realty Corp.,House for sale,879000,4,2,1238.0,"48 Princewood Ave, Staten Island, NY 10309, USA",40.5273247,-74.1983282,Richmond County
152,Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,918888,3,2,2184.207862,"30-36 88th St, Flushing, NY 11369, USA",40.760703,-73.880887,Queens County
153,Brokered by COMPASS,Townhouse for sale,2400000,4,2,1892.0,"396A 9th St, Brooklyn, NY 11215, USA",40.6674938,-73.9832146,Kings County
154,Brokered by Sowae Corp,Multi-family home for sale,425000,5,2,2184.207862,"755 Coster St, Bronx, NY 10474, USA",40.8159966,-73.8881001,Bronx County
155,Brokered by RE MAX Elite,House for sale,998000,4,4,2000.0,"336 Bethel Ave, Staten Island, NY 10307, USA",40.515251,-74.235145,Richmond County
156,Brokered by Coldwell Banker Advantage,House for sale,1195000,4,4,2688.0,"222 Hart Blvd, Staten Island, NY 10301, USA",40.6296431,-74.1005274,Richmond County
157,Brokered by RE MAX Real Estate Professionals,House for sale,1649000,3,2,2052.0,"1217 84th St, Brooklyn, NY 11228, USA",40.6164182,-74.0142443,Kings County
158,"Brokered by Homes R Us Realty of NY, Inc.",House for sale,955000,4,4,2100.0,"82 Vineland Ave, Staten Island, NY 10312, USA",40.551184,-74.1840649,Richmond County
159,Brokered by LJ Realty Team Inc,Multi-family home for sale,949000,6,3,2184.207862,"11737 141st St, Jamaica, NY 11436, USA",40.677393,-73.800094,Queens County
160,Brokered by Keller Williams Rlty Landmark,House for sale,880000,3,2,1743.0,"190-16 33rd Ave, Flushing, NY 11358, USA",40.7668312,-73.7911175,Queens County
161,"Brokered by Tom Crimmins Realty, Ltd.",Contingent,899999,3,2,1784.0,"61 Prescott Ave, Staten Island, NY 10306, USA",40.5788586,-74.11209,Richmond County
162,Brokered by J Milo Real Estate,Condo for sale,198000,1,1,750.0,"11818 Union Tpke Apt 7l, Kew Gardens, NY 11415, USA",40.7127599,-73.83433,Queens County
163,Brokered by Howard Hanna | Rand Realty,House for sale,549000,5,3,496.0,"2808 Wickham Ave, Bronx, NY 10469, USA",40.8679701,-73.836565,Bronx County
164,Brokered by RE MAX Elite,House for sale,1088888,3,4,1320.0,"1568 W 2nd St, Brooklyn, NY 11204, USA",40.6090909,-73.9762651,Kings County
165,Brokered by CAROZZA NICHOLAS M,House for sale,888000,4,2,2686.0,"3079 Giegerich Pl, Bronx, NY 10465, USA",40.8130775,-73.8063357,Bronx County
166,Brokered by All American Realty Management,For sale,65000,3,1,230.0,"45 Madison St #1, New York, NY 10038, USA",40.7120703,-73.9983258,New York County
167,Brokered by Real Broker NY LLC,House for sale,1449999,3,2,2184.207862,"21-89 47th St, Astoria, NY 11105, USA",40.7697773,-73.9014478,Queens County
